221977_at	TBX2	119.1	130.8	168.2	449.3	587.9	152.3	82.3	457.9	112.8	106.6	88.7	397.6
221978_at	HLA-F	450.7	570.2	409.3	298.8	400	444.7	519.3	730.7	1108.6	449.7	602.8	640
221979_at	TOPORS-AS1	394.3	334.2	542.4	908.3	618.2	835.5	543.4	1279.3	1835	469.2	342.8	1145.8
221980_at	EMILIN2	193.5	958.1	604.6	992.4	1000.4	274.2	265.3	390.4	630.4	734.5	345.5	205.7
221981_s_at	WDR59	188.1	329.6	99.5	181.2	102.5	100.2	91.6	89.5	77.3	183.2	149.5	146.1
221982_x_at	LAGE3	186.4	169.6	143.7	295.8	151.1	193.9	137.8	119.4	120.4	153.6	166.4	246.7
221983_at	FAM134A	6790.4	8345.8	9146.7	5380	7130.7	6990.2	6129.8	7913.8	10105.8	8621.5	9950.6	7074.9
221984_s_at	FAM134A	5138.3	7781.7	7281.9	6878.2	6816	5335.1	6315	9654.6	9664.2	9567.1	12799.1	8121.8
221985_at	KLHL24	1024.4	833.9	919.1	641.7	1008	874.5	1067.4	529.8	577.8	941.8	995.9	769.6
221986_s_at	KLHL24	31	141	64.1	11.9	176.1	38.4	50.4	51.3	90.9	38.6	77.6	304.6
221987_s_at	TSR1	303	92.7	54.1	38	39.7	107.9	57.3	108.8	30.5	49.4	41.2	221.3
221988_at	SMIM7	281.7	110.3	136.3	160.3	169.8	84.6	128	128.5	163.1	400.1	295.8	147.1
221989_at	SNORA70	99	303.2	656.3	159.4	128.5	840.3	751.9	188.5	530.1	606.5	667	127.8
221990_at	PAX8	430.6	249.4	534.5	245.8	849.8	442.9	653.7	759.5	1212.2	828.8	274.7	747.7
221991_at	NXPH3	2345.8	1313.4	1274.1	1852.3	1385.5	1271.9	610.1	1787.8	1966.1	1744.8	1179.4	1994.9
221992_at	NPIPB15	709	1340.6	1205.5	859	1235.5	758.7	998.3	1089.6	1095.6	1230.5	967.9	1846.3
221993_s_at	TSR3	34.2	50.3	36.7	51.8	40.5	47.4	105.2	27	69	25.4	36.1	67.9
221994_at	PDLIM5	75	33.5	22.1	33.1	110.4	128.7	84.1	281.3	81	476.9	62.1	146.8
221995_s_at	MRP63	184.1	467.9	621.2	452.3	451.9	411.3	237.9	92.2	395.6	367.9	574.9	143.2
221996_s_at	CLTB	214.1	114.2	44.7	444.8	369.6	164.7	117.6	756.4	52	436.4	67.3	183.2
221997_s_at	MRPL52	536	866.4	383.1	227.2	557.2	143.7	112.3	390.8	94.2	276.3	165	178.2
221998_s_at	VRK3	807.2	587.9	382	869.7	146.1	343.4	663	1432.4	1121.7	1149.1	742.8	1193.3
221999_at	VRK3	1443.5	1312.6	1799.1	1224.4	2025	1691.1	1077.1	1600.2	1790.3	1620.8	1084.2	934.9
222000_at	C1orf174	77	55.2	483.2	170.7	95	56.1	24.4	169	67	289.7	378.1	56.5
222001_x_at	LINC00623	61	63	54	57.7	64.1	62.9	56.7	50.3	59.5	80.8	75.2	65.4
222002_at	C7orf26	579.1	290.4	749.9	729.7	570	848.9	518.3	496.8	316.3	752.8	285.3	287.3
222003_s_at	DOCK6	261.7	564.1	886.3	852.1	84.6	598.6	783.7	722.7	379.9	484.3	678.9	762
222004_s_at	DOCK6	180.1	109.6	92.4	194.6	211.2	187.8	197.6	142.4	186.9	192.8	92	86.2
222005_s_at	GNG3	2587.5	3067.2	2055.8	1895.8	1897.6	2788.3	2717.8	1914.4	2739.4	2427.9	2561.8	3028.6
222006_at	LETM1	264.2	77.3	88.8	92.3	146.8	190.4	124.7	160.6	154.7	190.5	107.7	347.3
222007_s_at	FKBP8	106.3	99.5	97.4	95.3	526.2	60.6	80.3	86.5	70.8	53.9	107.9	91.6
222008_at	COL9A1	137.5	123.3	83.1	77.4	78.8	93.4	91.1	97.2	75.3	76.2	114.4	116.7
222009_at	CEMP1	373.2	300.7	213.4	660.2	309.8	283.4	591	205.3	181.4	109.9	96	693.5
222010_at	SNORA29	314.6	778.7	313.8	157	517.6	585.2	351.6	731.6	448.2	277.4	682.4	179
222011_s_at	SNORA29	89.6	79.9	68.4	316.1	86.4	192	972.9	518.2	383.2	501.9	280.2	668.9
222012_at	DCAF15	84.3	130.3	179.7	112.3	62.5	98.8	107.3	101	133.3	161.4	102.1	114.5
222013_x_at	EEF2KMT	119.2	72.7	141.3	57.2	59.4	143.1	90.5	82.3	39.7	113.2	132.9	133.2
222014_x_at	MTO1	267.2	89	25.6	26.1	58.8	31.4	82.6	43.2	54.4	67.9	53.2	348
222015_at	CSNK1E	304.6	405.9	270	395	315.6	869.9	524	123.7	391.1	500.5	464.2	578
222016_s_at	ZSCAN31	652.7	211.9	428.1	214.6	427.7	586.2	203.7	944.8	969.1	183	156.2	1038.7
